Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Juniper II,JUN,04-11-21,,,,11-11-21,,,,
Concord Acquisition III,CNDB,04-11-21,,,,11-11-21,,,,
Kyndryl Holdings,KD,04-11-21,,,,11-11-21,,,,
NerdWallet,NRDS,04-11-21,,,,11-11-21,,,,
Talon 1 Acquisition,TOAC,04-11-21,,,,11-11-21,,,,
Spindletop Health Acquisition,SHCA,04-11-21,,,,11-11-21,,,,
Trine II Acquisition,TRAQ,03-11-21,,,,10-11-21,,,,
TG Venture Acquisition,TGVC,03-11-21,,,,10-11-21,,,,
Allbirds,BIRD,03-11-21,,,,10-11-21,,,,
Onyx Acquisition Co. I,ONYX,03-11-21,,,,10-11-21,,,,
Fortune Rise Acquisition,FRLA,03-11-21,,,,10-11-21,,,,
Claros Mortgage Trust,CMTG,03-11-21,,,,10-11-21,,,,
McLaren Technology Acquisition,MLAI,03-11-21,,,,10-11-21,,,,
Integral Acquisition 1,INTE,03-11-21,,,,10-11-21,,,,
Vision Sensing Acquisition,VSAC,01-11-21,,,,08-11-21,,,,
Liberty Resources Acquisition,LIBY,01-11-21,,,,08-11-21,,,,
LianBio,LIAN,01-11-21,,,,08-11-21,,,,
Arbor Rapha Capital Bioholdings I,ARCK,29-10-21,,,,05-11-21,,,,
Udemy,UDMY,29-10-21,,,,05-11-21,,,,
AltEnergy Acquisition,AEAE,29-10-21,,,,05-11-21,,,,
Entrada Therapeutics,TRDA,29-10-21,,,,05-11-21,,,,
Project Energy Reimagined Acquisition,PEGR,29-10-21,,,,05-11-21,,,,
Sonendo,SONX,29-10-21,,,,05-11-21,,,,
AirSculpt Technologies,AIRS,29-10-21,,,,05-11-21,,,,
Biofrontera,BFRI,29-10-21,,,,05-11-21,,,,
HireRight Holdings,HRT,29-10-21,,,,05-11-21,,,,
SDCL EDGE Acquisition,SEDA,29-10-21,,,,05-11-21,,,,
