Name,Symbol,IPO Date,IPO Price,total shares outstanding,trading volume on listing day,(IPO +7) Date,New Avg Price After 1 Week,Exchange,HQ Location,Industry
Unicycive Therapeutics,UNCY,13-07-21,,,,20-07-21,,,,
Arya Sciences Acquisition V,ARYE,13-07-21,,,,20-07-21,,,,
Good Works II Acquisition,GWII,12-07-21,,,,19-07-21,,,,
TransCode Therapeutics,RNAZ,09-07-21,,,,16-07-21,,,,
Sentage Holdings,SNTG,09-07-21,,,,16-07-21,,,,
Acropolis Infrastructure Acquisition,ACRO,09-07-21,,,,16-07-21,,,,
Galata Acquisition,GLTA,09-07-21,,,,16-07-21,,,,
Agrico Acquisition,RICO,08-07-21,,,,15-07-21,,,,
AltC Acquisition,ALCC,08-07-21,,,,15-07-21,,,,
AgriFORCE Growing Systems,AGRI,08-07-21,,,,15-07-21,,,,
Moving iMage Technologies,MITQ,08-07-21,,,,15-07-21,,,,
Nyxoah,NYXH,02-07-21,,,,09-07-21,,,,
Eco Wave Power Global AB (publ),WAVE,01-07-21,,,,08-07-21,,,,
D-MARKET Electronic Services &amp; Trading,HEPS,01-07-21,,,,08-07-21,,,,
The Glimpse Group,VRAR,01-07-21,,,,08-07-21,,,,
Krispy Kreme,DNUT,01-07-21,,,,08-07-21,,,,
Acumen Pharmaceuticals,ABOS,01-07-21,,,,08-07-21,,,,
Macondray Capital Acquisition I,DRAY,01-07-21,,,,08-07-21,,,,
Frontier Investment,FICV,01-07-21,,,,08-07-21,,,,
EverCommerce,EVCM,01-07-21,,,,08-07-21,,,,
Torrid Holdings,CURV,01-07-21,,,,08-07-21,,,,
Corsair Partnering,CORS,01-07-21,,,,08-07-21,,,,
G3 VRM Acquisition,GGGV,01-07-21,,,,08-07-21,,,,
LegalZoom.com,LZ,30-06-21,,,,07-07-21,,,,
Social Capital Suvretta Holdings II,DNAB,30-06-21,,,,07-07-21,,,,
Xometry,XMTR,30-06-21,,,,07-07-21,,,,
Social Capital Suvretta Holdings IV,DNAD,30-06-21,,,,07-07-21,,,,
Social Capital Suvretta Holdings III,DNAC,30-06-21,,,,07-07-21,,,,
Social Capital Suvretta Holdings I,DNAA,30-06-21,,,,07-07-21,,,,
DiDi Global,DIDI,30-06-21,,,,07-07-21,,,,
Intapp,INTA,30-06-21,,,,07-07-21,,,,
Integral Ad Science Holding,IAS,30-06-21,,,,07-07-21,,,,
Clear Secure,YOU,30-06-21,,,,07-07-21,,,,
"CVRx, Inc.",CVRX,30-06-21,,,,07-07-21,,,,
Mountain Crest Acquisition IV,MCAF,30-06-21,,,,07-07-21,,,,
"Pop Culture Group Co.,",CPOP,30-06-21,,,,07-07-21,,,,
Aerovate Therapeutics,AVTE,30-06-21,,,,07-07-21,,,,
SentinelOne,S,30-06-21,,,,07-07-21,,,,
Thunder Bridge Capital Partners IV,THCP,30-06-21,,,,07-07-21,,,,
Shelter Acquisition I,SHQA,30-06-21,,,,07-07-21,,,,
Elliott Opportunity II,EOCW,29-06-21,,,,06-07-21,,,,
Dingdong (Cayman),DDL,29-06-21,,,,06-07-21,,,,
Gobi Acquisition,GOBI,29-06-21,,,,06-07-21,,,,
Alpha Teknova,TKNO,25-06-21,,,,02-07-21,,,,
Graphite Bio,GRPH,25-06-21,,,,02-07-21,,,,
GH Research,GHRS,25-06-21,,,,02-07-21,,,,
G Medical Innovations Holdings,GMVD,25-06-21,,,,02-07-21,,,,
Acurx Pharmaceuticals,ACXP,25-06-21,,,,02-07-21,,,,
Missfresh,MF,25-06-21,,,,02-07-21,,,,
Mister Car Wash,MCW,25-06-21,,,,02-07-21,,,,
Elevation Oncology,ELEV,25-06-21,,,,02-07-21,,,,
Bright Health Group,BHG,24-06-21,,,,01-07-21,,,,
Doximity,DOCS,24-06-21,,,,01-07-21,,,,
Grove,GRVI,24-06-21,,,,01-07-21,,,,
Monte Rosa Therapeutics,GLUE,24-06-21,,,,01-07-21,,,,
Bon Natural Life,BON,24-06-21,,,,01-07-21,,,,
Northern Lights Acquisition,NLIT,24-06-21,,,,01-07-21,,,,
Miromatrix Medical,MIRO,24-06-21,,,,01-07-21,,,,
FinTech Acquisition VI,FTVI,24-06-21,,,,01-07-21,,,,
Confluent,CFLT,24-06-21,,,,01-07-21,,,,
Sprinklr,CXM,23-06-21,,,,30-06-21,,,,
Coliseum Acquisition,MITA,23-06-21,,,,30-06-21,,,,
First Advantage,FA,23-06-21,,,,30-06-21,,,,
Golden Path Acquisition,GPCO,22-06-21,,,,29-06-21,,,,
Full Truck Alliance Co.,YMM,22-06-21,,,,29-06-21,,,,
Century Therapeutics,IPSC,18-06-21,,,,25-06-21,,,,
Tremor International,TRMR,18-06-21,,,,25-06-21,,,,
Femasys,FEMY,18-06-21,,,,25-06-21,,,,
Cyteir Therapeutics,CYT,18-06-21,,,,25-06-21,,,,
ATAI Life Sciences,ATAI,18-06-21,,,,25-06-21,,,,
AiHuiShou International Co.,RERE,18-06-21,,,,25-06-21,,,,
JAWS Juggernaut Acquisition,JUGG,18-06-21,,,,25-06-21,,,,
Ambrx Biopharma,AMAM,18-06-21,,,,25-06-21,,,,
Codex DNA,DNAY,18-06-21,,,,25-06-21,,,,
Corner Growth Acquisition 2,TRON,17-06-21,,,,24-06-21,,,,
Angel Oak Mortgage,AOMR,17-06-21,,,,24-06-21,,,,
Verve Therapeutics,VERV,17-06-21,,,,24-06-21,,,,
Lyell Immunopharma,LYEL,17-06-21,,,,24-06-21,,,,
iSpecimen,ISPC,17-06-21,,,,24-06-21,,,,
Molecular Partners AG,MOLN,16-06-21,,,,23-06-21,,,,
Convey Holding Parent,CNVY,16-06-21,,,,23-06-21,,,,
Zimmer Energy Transition Acquisition,ZT,16-06-21,,,,23-06-21,,,,
Rice Acquisition II,RONI,16-06-21,,,,23-06-21,,,,
WalkMe,WKME,16-06-21,,,,23-06-21,,,,
DILA Capital Acquisition,DILA,15-06-21,,,,22-06-21,,,,
G Squared Ascend II,GSQB,15-06-21,,,,22-06-21,,,,
Alzamend Neuro,ALZN,15-06-21,,,,22-06-21,,,,
Logistics Innovation Technologies,LITT,11-06-21,,,,18-06-21,,,,
Lakeshore Acquisition I,LAAA,11-06-21,,,,18-06-21,,,,
JAWS Hurricane Acquisition,HCNE,11-06-21,,,,18-06-21,,,,
Janux Therapeutics,JANX,11-06-21,,,,18-06-21,,,,
Kanzhun,BZ,11-06-21,,,,18-06-21,,,,
TaskUs,TASK,11-06-21,,,,18-06-21,,,,
Blue Safari Group Acquisition,BSGA,10-06-21,,,,17-06-21,,,,
monday.com,MNDY,10-06-21,,,,17-06-21,,,,
1stdibs.com,DIBS,10-06-21,,,,17-06-21,,,,
Zeta Global Holdings,ZETA,10-06-21,,,,17-06-21,,,,
Lifestance Health Group,LFST,10-06-21,,,,17-06-21,,,,
Iron Spark I,ISAA,09-06-21,,,,16-06-21,,,,
Global Consumer Acquisition,GACQ,09-06-21,,,,16-06-21,,,,
Colombier Acquisition,CLBR,09-06-21,,,,16-06-21,,,,
Marqeta,MQ,09-06-21,,,,16-06-21,,,,
Summit Healthcare Acquisition,SMIH,09-06-21,,,,16-06-21,,,,
Zhangmen Education,ZME,08-06-21,,,,15-06-21,,,,
SPK Acquisition,SPK,08-06-21,,,,15-06-21,,,,
DLocal,DLO,03-06-21,,,,10-06-21,,,,
OceanTech Acquisitions I,OTEC,28-05-21,,,,04-06-21,,,,
Centessa Pharmaceuticals,CNTA,28-05-21,,,,04-06-21,,,,
"FIGS, Inc.",FIGS,27-05-21,,,,03-06-21,,,,
Day One Biopharmaceuticals,DAWN,27-05-21,,,,03-06-21,,,,
Singular Genomics Systems,OMIC,27-05-21,,,,03-06-21,,,,
EG Acquisition,EGGF,26-05-21,,,,02-06-21,,,,
Paymentus Holdings,PAY,26-05-21,,,,02-06-21,,,,
Post Holdings Partnering,PSPC,26-05-21,,,,02-06-21,,,,
ZipRecruiter,ZIP,26-05-21,,,,02-06-21,,,,
Dynamics Special Purpose,DYNS,26-05-21,,,,02-06-21,,,,
Flywire,FLYW,26-05-21,,,,02-06-21,,,,
Fifth Wall Acquisition III,FWAC,25-05-21,,,,01-06-21,,,,
Graf Acquisition IV,GFOR,21-05-21,,,,28-05-21,,,,
Oatly Group AB,OTLY,20-05-21,,,,27-05-21,,,,
Procore Technologies,PCOR,20-05-21,,,,27-05-21,,,,
GigInternational1,GIW,19-05-21,,,,26-05-21,,,,
Aries I Acquisition,RAM,19-05-21,,,,26-05-21,,,,
Squarespace,SQSP,19-05-21,,,,26-05-21,,,,
Skydeck Acquisition,SKYA,19-05-21,,,,26-05-21,,,,
Catalyst Partners Acquisition,CPAR,18-05-21,,,,25-05-21,,,,
Jiuzi Holdings,JZXN,18-05-21,,,,25-05-21,,,,
Angel Pond Holdings,POND,18-05-21,,,,25-05-21,,,,
Mountain Crest Acquisition III,MCAE,18-05-21,,,,25-05-21,,,,
Artisan Acquisition,ARTA,14-05-21,,,,21-05-21,,,,
Vera Therapeutics,VERA,14-05-21,,,,21-05-21,,,,
Digital Brands Group,DBGI,14-05-21,,,,21-05-21,,,,
E-Home Household Service Holdings,EJH,14-05-21,,,,21-05-21,,,,
Osiris Acquisition,OSI,14-05-21,,,,21-05-21,,,,
Orion Biotech Opportunities,ORIA,13-05-21,,,,20-05-21,,,,
Global-E Online,GLBE,12-05-21,,,,19-05-21,,,,
Similarweb,SMWB,12-05-21,,,,19-05-21,,,,
iPower,IPW,12-05-21,,,,19-05-21,,,,
Flora Growth,FLGC,11-05-21,,,,18-05-21,,,,
Talaris Therapeutics,TALS,07-05-21,,,,14-05-21,,,,
B. Riley Principal 250 Merger,BRIV,07-05-21,,,,14-05-21,,,,
Anebulo Pharmaceuticals,ANEB,07-05-21,,,,14-05-21,,,,
Data Knights Acquisition,DKDCA,07-05-21,,,,14-05-21,,,,
Waterdrop,WDH,07-05-21,,,,14-05-21,,,,
Bowman Consulting Group,BWMN,07-05-21,,,,14-05-21,,,,
Onion Global,OG,07-05-21,,,,14-05-21,,,,
Valneva SE,VALN,06-05-21,,,,13-05-21,,,,
Maquia Capital Acquisition,MAQC,05-05-21,,,,12-05-21,,,,
The Honest Company,HNST,05-05-21,,,,12-05-21,,,,
Five Star Bancorp,FSBC,05-05-21,,,,12-05-21,,,,
"ALFI, Inc.",ALF,04-05-21,,,,11-05-21,,,,
Valor Latitude Acquisition,VLAT,04-05-21,,,,11-05-21,,,,
Werewolf Therapeutics,HOWL,30-04-21,,,,07-05-21,,,,
Vaccitech,VACC,30-04-21,,,,07-05-21,,,,
ION Acquisition 3,IACC,30-04-21,,,,07-05-21,,,,
Privia Health Group,PRVA,29-04-21,,,,06-05-21,,,,
Aveanna Healthcare Holdings,AVAH,29-04-21,,,,06-05-21,,,,
Endeavor Group Holdings,EDR,29-04-21,,,,06-05-21,,,,
TradeUP Global,TUGC,29-04-21,,,,06-05-21,,,,
Big Sky Growth Partners,BSKY,29-04-21,,,,06-05-21,,,,
FTC Solar,FTCI,28-04-21,,,,05-05-21,,,,
Impel NeuroPharma,IMPL,23-04-21,,,,30-04-21,,,,
Rain Therapeutics,RAIN,23-04-21,,,,30-04-21,,,,
Latham Group,SWIM,23-04-21,,,,30-04-21,,,,
Agiliti,AGTI,23-04-21,,,,30-04-21,,,,
Treace Medical Concepts,TMCI,23-04-21,,,,30-04-21,,,,
NeuroPace,NPCE,22-04-21,,,,29-04-21,,,,
KnowBe4,KNBE,22-04-21,,,,29-04-21,,,,
Zymergen,ZY,22-04-21,,,,29-04-21,,,,
DoubleVerify Holdings,DV,21-04-21,,,,28-04-21,,,,
UiPath,PATH,21-04-21,,,,28-04-21,,,,
SkyWater Technology,SKYT,21-04-21,,,,28-04-21,,,,
"Infobird Co.,",IFBD,20-04-21,,,,27-04-21,,,,
Troika Media Group,TRKA,20-04-21,,,,27-04-21,,,,
Biomea Fusion,BMEA,16-04-21,,,,23-04-21,,,,
Recursion Pharmaceuticals,RXRX,16-04-21,,,,23-04-21,,,,
Akoya Biosciences,AKYA,16-04-21,,,,23-04-21,,,,
Esports Technologies,EBET,15-04-21,,,,22-04-21,,,,
TuSimple Holdings,TSP,15-04-21,,,,22-04-21,,,,
Karat Packaging,KRT,15-04-21,,,,22-04-21,,,,
AppLovin,APP,15-04-21,,,,22-04-21,,,,
agilon health,AGL,15-04-21,,,,22-04-21,,,,
TCV Acquisition,TCVA,14-04-21,,,,21-04-21,,,,
Alkami Technology,ALKT,14-04-21,,,,21-04-21,,,,
Coinbase Global,COIN,14-04-21,,,,21-04-21,,,,
TPG Pace Beneficial II,YTPG,14-04-21,,,,21-04-21,,,,
TPG Pace Solutions,TPGS,09-04-21,,,,16-04-21,,,,
Aldel Financial,ADF,09-04-21,,,,16-04-21,,,,
Reneo Pharmaceuticals,RPHM,09-04-21,,,,16-04-21,,,,
VectivBio Holding AG,VECT,09-04-21,,,,16-04-21,,,,
Global SPAC Partners Co.,GLSPT,09-04-21,,,,16-04-21,,,,
Model Performance Acquisition,MPAC,08-04-21,,,,15-04-21,,,,
Tio Tech A,TIOA,08-04-21,,,,15-04-21,,,,
CM Life Sciences III,CMLT,07-04-21,,,,14-04-21,,,,
Panacea Acquisition II,PANA,07-04-21,,,,14-04-21,,,,
UTime,UTME,06-04-21,,,,13-04-21,,,,
Ace Global Business Acquisition,ACBA,06-04-21,,,,13-04-21,,,,
Smart Share Global,EM,01-04-21,,,,08-04-21,,,,
Compass,COMP,01-04-21,,,,08-04-21,,,,
Karooooo,KARO,01-04-21,,,,08-04-21,,,,
Frontier Group Holdings,ULCC,01-04-21,,,,08-04-21,,,,
Nocturne Acquisition,MBTC,31-03-21,,,,07-04-21,,,,
Achilles Therapeutics,ACHL,31-03-21,,,,07-04-21,,,,
Coursera,COUR,31-03-21,,,,07-04-21,,,,
two,TWOA,30-03-21,,,,06-04-21,,,,
Ikena Oncology,IKNA,26-03-21,,,,02-04-21,,,,
Hywin Holdings,HYW,26-03-21,,,,02-04-21,,,,
Edgewise Therapeutics,EWTX,26-03-21,,,,02-04-21,,,,
ThredUp,TDUP,26-03-21,,,,02-04-21,,,,
Alignment Healthcare,ALHC,26-03-21,,,,02-04-21,,,,
Design Therapeutics,DSGN,26-03-21,,,,02-04-21,,,,
Zhihu,ZH,26-03-21,,,,02-04-21,,,,
Elite Education Group International,EEIQ,25-03-21,,,,01-04-21,,,,
Landcadia Holdings IV,LCA,25-03-21,,,,01-04-21,,,,
Diversey Holdings,DSEY,25-03-21,,,,01-04-21,,,,
Cricut,CRCT,25-03-21,,,,01-04-21,,,,
MSD Acquisition,MSDA,25-03-21,,,,01-04-21,,,,
LAVA Therapeutics,LVTX,25-03-21,,,,01-04-21,,,,
VIZIO Holding,VZIO,25-03-21,,,,01-04-21,,,,
Olink Holding AB (publ),OLK,25-03-21,,,,01-04-21,,,,
SEMrush Holdings,SEMR,25-03-21,,,,01-04-21,,,,
Khosla Ventures Acquisition Co. III,KVSC,24-03-21,,,,31-03-21,,,,
Northern Genesis Acquisition III,NGC,24-03-21,,,,31-03-21,,,,
Corazon Capital V838 Monoceros,CRZN,24-03-21,,,,31-03-21,,,,
DigitalOcean Holdings,DOCN,24-03-21,,,,31-03-21,,,,
Disruptive Acquisition I,DISA,24-03-21,,,,31-03-21,,,,
Decarbonization Plus Acquisition III,DCRC,24-03-21,,,,31-03-21,,,,
ACV Auctions,ACVA,24-03-21,,,,31-03-21,,,,
Virgin Group Acquisition II,VGII,23-03-21,,,,30-03-21,,,,
Universe Pharmaceuticals,UPC,23-03-21,,,,30-03-21,,,,
NextGen Acquisition II,NGCA,23-03-21,,,,30-03-21,,,,
Gores Guggenheim,GGPI,23-03-21,,,,30-03-21,,,,
ArcLight Clean Transition II,ACTD,23-03-21,,,,30-03-21,,,,
Movano,MOVE,23-03-21,,,,30-03-21,,,,
TB SA Acquisition,TBSA,23-03-21,,,,30-03-21,,,,
Newbury Street Acquisition,NBST,23-03-21,,,,30-03-21,,,,
Dragoneer Growth Opportunities III,DGNU,23-03-21,,,,30-03-21,,,,
Magnum Opus Acquisition,OPA,23-03-21,,,,30-03-21,,,,
Supernova Partners Acquisition Company III,STRE,23-03-21,,,,30-03-21,,,,
Glass Houses Acquisition,GLHA,23-03-21,,,,30-03-21,,,,
"Lead Edge Growth Opportunities,",LEGA,23-03-21,,,,30-03-21,,,,
Rocket Internet Growth Opportunities,RKTA,23-03-21,,,,30-03-21,,,,
Glenfarne Merger,GGMC,19-03-21,,,,26-03-21,,,,
BYTE Acquisition,BYTS,19-03-21,,,,26-03-21,,,,
AFC Gamma,AFCG,19-03-21,,,,26-03-21,,,,
Levere Holdings,LVRA,19-03-21,,,,26-03-21,,,,
AF Acquisition,AFAQ,19-03-21,,,,26-03-21,,,,
Instil Bio,TIL,19-03-21,,,,26-03-21,,,,
Finch Therapeutics Group,FNCH,19-03-21,,,,26-03-21,,,,
Connect Biopharma Holdings,CNTB,19-03-21,,,,26-03-21,,,,
LDH Growth I,LDHA,19-03-21,,,,26-03-21,,,,
Longview Acquisition II,LGV,19-03-21,,,,26-03-21,,,,
"Tuya, Inc.",TUYA,18-03-21,,,,25-03-21,,,,
American Acquisition Opportunity,AMAO,18-03-21,,,,25-03-21,,,,
Forum Merger IV,FMIV,18-03-21,,,,25-03-21,,,,
Accelerate Acquisition,AAQC,18-03-21,,,,25-03-21,,,,
Gain Therapeutics,GANX,18-03-21,,,,25-03-21,,,,
Revolution Healthcare Acquisition,REVH,18-03-21,,,,25-03-21,,,,
Research Alliance II,RACB,18-03-21,,,,25-03-21,,,,
The Duckhorn Portfolio,NAPA,18-03-21,,,,25-03-21,,,,
GX Acquisition II,GXII,18-03-21,,,,25-03-21,,,,
Golden Arrow Merger,GAMC,17-03-21,,,,24-03-21,,,,
Sun Country Airlines Holdings,SNCY,17-03-21,,,,24-03-21,,,,
Kadem Sustainable Impact,KSI,17-03-21,,,,24-03-21,,,,
Tech &amp; Energy Transition,TETC,17-03-21,,,,24-03-21,,,,
"Olo, Inc.",OLO,17-03-21,,,,24-03-21,,,,
Build Acquisition,BGSX,17-03-21,,,,24-03-21,,,,
Jowell Global,JWEL,17-03-21,,,,24-03-21,,,,
Athena Technology Acquisition,ATHN,17-03-21,,,,24-03-21,,,,
KKR Acquisition Holdings I,KAHC,17-03-21,,,,24-03-21,,,,
Plum Acquisition I,PLMI,16-03-21,,,,23-03-21,,,,
Fortress Value Acquisition IV,FVIV,16-03-21,,,,23-03-21,,,,
FAST Acquisition II,FZT,16-03-21,,,,23-03-21,,,,
Waldencast Acquisition,WALD,16-03-21,,,,23-03-21,,,,
European Biotech Acquisition,EBAC,16-03-21,,,,23-03-21,,,,
Gores Technology Partners II,GTPB,12-03-21,,,,19-03-21,,,,
Gores Technology Partners,GTPA,12-03-21,,,,19-03-21,,,,
CF Acquisition VIII,CFFE,12-03-21,,,,19-03-21,,,,
Ross Acquisition II,ROSS,12-03-21,,,,19-03-21,,,,
Prometheus Biosciences,RXDX,12-03-21,,,,19-03-21,,,,
FTAC Parnassus Acquisition,FTPA,12-03-21,,,,19-03-21,,,,
Stratim Cloud Acquisition,SCAQ,12-03-21,,,,19-03-21,,,,
JOANN,JOAN,12-03-21,,,,19-03-21,,,,
MeaTech 3D,MITC,12-03-21,,,,19-03-21,,,,
Longboard Pharmaceuticals,LBPH,12-03-21,,,,19-03-21,,,,
Hayward Holdings,HAYW,12-03-21,,,,19-03-21,,,,
L Catterton Asia Acquisition,LCAA,11-03-21,,,,18-03-21,,,,
Silver Spike Acquisition II,SPKB,11-03-21,,,,18-03-21,,,,
Archimedes Tech SPAC Partners Co.,ATSP,11-03-21,,,,18-03-21,,,,
Pine Technology Acquisition,PTOC,11-03-21,,,,18-03-21,,,,
First High-School Education Group Co.,FHS,11-03-21,,,,18-03-21,,,,
Coupang,CPNG,11-03-21,,,,18-03-21,,,,
G&amp;P Acquisition,GAPA,11-03-21,,,,18-03-21,,,,
Frontier Acquisition,FRON,11-03-21,,,,18-03-21,,,,
Agile Growth,AGGR,10-03-21,,,,17-03-21,,,,
Digital Transformation Opportunities,DTOC,10-03-21,,,,17-03-21,,,,
Roblox,RBLX,10-03-21,,,,17-03-21,,,,
Sandbridge X2,SBII,10-03-21,,,,17-03-21,,,,
ESM Acquisition,ESM,10-03-21,,,,17-03-21,,,,
PWP Forward Acquisition I,FRW,10-03-21,,,,17-03-21,,,,
Colonnade Acquisition II,CLAA,10-03-21,,,,17-03-21,,,,
Forest Road Acquisition II,FRXB,10-03-21,,,,17-03-21,,,,
Vector Acquisition II,VAQC,10-03-21,,,,17-03-21,,,,
Gold Royalty,GROY,09-03-21,,,,16-03-21,,,,
SVF Investment 3,SVFC,09-03-21,,,,16-03-21,,,,
SVF Investment 2,SVFB,09-03-21,,,,16-03-21,,,,
Independence Holdings,ACQR,09-03-21,,,,16-03-21,,,,
Peridot Acquisition II,PDOT,09-03-21,,,,16-03-21,,,,
InterPrivate III Financial Partners,IPVF,05-03-21,,,,12-03-21,,,,
InterPrivate IV InfraTech Partners,IPVI,05-03-21,,,,12-03-21,,,,
"dMY Technology Group, Inc. IV",DMYQ,05-03-21,,,,12-03-21,,,,
InterPrivate II Acquisition,IPVA,05-03-21,,,,12-03-21,,,,
Warburg Pincus Capital Corporation I-B,WPCB,05-03-21,,,,12-03-21,,,,
Warburg Pincus Capital Corporation I-A,WPCA,05-03-21,,,,12-03-21,,,,
VPC Impact Acquisition Holdings III,VPCC,05-03-21,,,,12-03-21,,,,
First Reserve Sustainable Growth,FRSG,05-03-21,,,,12-03-21,,,,
Tribe Capital Growth I,ATVC,05-03-21,,,,12-03-21,,,,
VPC Impact Acquisition Holdings II,VPCB,05-03-21,,,,12-03-21,,,,
Tailwind Two Acquisition,TWNT,05-03-21,,,,12-03-21,,,,
Lerer Hippeau Acquisition,LHAA,05-03-21,,,,12-03-21,,,,
Altimar Acquisition III,ATAQ,04-03-21,,,,11-03-21,,,,
Khosla Ventures Acquisition Co.,KVSA,04-03-21,,,,11-03-21,,,,
FTAC Hera Acquisition,HERA,04-03-21,,,,11-03-21,,,,
Innovage Holding,INNV,04-03-21,,,,11-03-21,,,,
M3-Brigade Acquisition II,MBAC,04-03-21,,,,11-03-21,,,,
Twin Ridge Capital Acquisition,TRCA,04-03-21,,,,11-03-21,,,,
Atlantic Coastal Acquisition,ACAH,04-03-21,,,,11-03-21,,,,
Aurora Acquisition,AURC,04-03-21,,,,11-03-21,,,,
Property Solutions Acquisition II,PSAG,04-03-21,,,,11-03-21,,,,
RXR Acquisition,RXRA,04-03-21,,,,11-03-21,,,,
Isos Acquisition,ISOS,03-03-21,,,,10-03-21,,,,
Roth CH Acquisition III Co.,ROCR,03-03-21,,,,10-03-21,,,,
Mission Advancement,MACC,03-03-21,,,,10-03-21,,,,
Oscar Health,OSCR,03-03-21,,,,10-03-21,,,,
Nightdragon Acquisition,NDAC,02-03-21,,,,09-03-21,,,,
Orion Acquisition,OHPA,02-03-21,,,,09-03-21,,,,
Live Oak Mobility Acquisition,LOKM,02-03-21,,,,09-03-21,,,,
Supernova Partners Acquisition Company II,SNII,02-03-21,,,,09-03-21,,,,
Northern Star Investment III,NSTC,02-03-21,,,,09-03-21,,,,
Northern Star Investment IV,NSTD,02-03-21,,,,09-03-21,,,,
TCW Special Purpose Acquisition,TSPQ,02-03-21,,,,09-03-21,,,,
DHB Capital,DHBC,02-03-21,,,,09-03-21,,,,
Haymaker Acquisition III,HYAC,02-03-21,,,,09-03-21,,,,
DHC Acquisition,DHCA,02-03-21,,,,09-03-21,,,,
Arrowroot Acquisition,ARRW,02-03-21,,,,09-03-21,,,,
Anzu Special Acquisition I,ANZU,02-03-21,,,,09-03-21,,,,
Advanced Merger Partners,AMPI,02-03-21,,,,09-03-21,,,,
FinTech Evolution Acquisition Group,FTEV,02-03-21,,,,09-03-21,,,,
Goldenbridge Acquisition,GBRG,02-03-21,,,,09-03-21,,,,
SilverBox Engaged Merger I,SBEA,26-02-21,,,,05-03-21,,,,
Austerlitz Acquisition I,AUS,26-02-21,,,,05-03-21,,,,
Local Bounti,LOCL,26-02-21,,,,05-03-21,,,,
Ibere Pharmaceuticals,IBER,26-02-21,,,,05-03-21,,,,
Fusion Acquisition II,FSNB,26-02-21,,,,05-03-21,,,,
Twelve Seas Investment Company II,TWLV,26-02-21,,,,05-03-21,,,,
Freedom Acquisition I,FACT,26-02-21,,,,05-03-21,,,,
Austerlitz Acquisition II,ASZ,26-02-21,,,,05-03-21,,,,
ARYA Sciences Acquisition IV,ARYD,26-02-21,,,,05-03-21,,,,
MCAP Acquisition,MACQ,26-02-21,,,,05-03-21,,,,
Warrior Technologies Acquisition Company,WARR,26-02-21,,,,05-03-21,,,,
African Gold Acquisition,AGAC,26-02-21,,,,05-03-21,,,,
Isleworth Healthcare Acquisition,ISLE,25-02-21,,,,04-03-21,,,,
USHG Acquisition,HUGS,25-02-21,,,,04-03-21,,,,
EJF Acquisition,EJFA,25-02-21,,,,04-03-21,,,,
Flame Acquisition,FLME,25-02-21,,,,04-03-21,,,,
Gores Holdings VIII,GIIX,25-02-21,,,,04-03-21,,,,
BOA Acquisition,BOAS,24-02-21,,,,03-03-21,,,,
Hudson Executive Investment III,HIII,24-02-21,,,,03-03-21,,,,
Colicity,COLI,24-02-21,,,,03-03-21,,,,
Cartesian Growth,GLBL,24-02-21,,,,03-03-21,,,,
Slam Corp.,SLAM,23-02-21,,,,02-03-21,,,,
Gores Holdings VII,GSEV,23-02-21,,,,02-03-21,,,,
Arctos NorthStar Acquisition,ANAC,23-02-21,,,,02-03-21,,,,
FTAC Athena Acquisition,FTAA,23-02-21,,,,02-03-21,,,,
Velocity Acquisition,VELO,23-02-21,,,,02-03-21,,,,
Figure Acquisition I,FACA,19-02-21,,,,26-02-21,,,,
B. Riley Principal 150 Merger,BRPM,19-02-21,,,,26-02-21,,,,
Simon Property Group Acquisition Holdings,SPGS,19-02-21,,,,26-02-21,,,,
Tailwind International Acquisition,TWNI,19-02-21,,,,26-02-21,,,,
CF Acquisition VI,CFVI,19-02-21,,,,26-02-21,,,,
Alpha Capital Acquisition Company,ASPC,19-02-21,,,,26-02-21,,,,
Kismet Acquisition Three,KIII,18-02-21,,,,25-02-21,,,,
FinServ Acquisition II,FSRX,18-02-21,,,,25-02-21,,,,
Kismet Acquisition Two,KAII,18-02-21,,,,25-02-21,,,,
Pathfinder Acquisition,PFDR,17-02-21,,,,24-02-21,,,,
FS Development II,FSII,17-02-21,,,,24-02-21,,,,
ABG Acquisition I,ABGI,17-02-21,,,,24-02-21,,,,
Moringa Acquisition,MACA,17-02-21,,,,24-02-21,,,,
Auddia,AUUD,17-02-21,,,,24-02-21,,,,
New Vista Acquisition,NVSA,17-02-21,,,,24-02-21,,,,
SportsTek Acquisition,SPTK,17-02-21,,,,24-02-21,,,,
Virpax Pharmaceuticals,VRPX,17-02-21,,,,24-02-21,,,,
Medicus Sciences Acquisition,MSAC,16-02-21,,,,23-02-21,,,,
Longeveron,LGVN,12-02-21,,,,19-02-21,,,,
Rosecliff Acquisition I,RCLF,12-02-21,,,,19-02-21,,,,
Broadscale Acquisition,SCLE,12-02-21,,,,19-02-21,,,,
Decibel Therapeutics,DBTX,12-02-21,,,,19-02-21,,,,
Catcha Investment,CHAA,12-02-21,,,,19-02-21,,,,
Tishman Speyer Innovation II,TSIB,12-02-21,,,,19-02-21,,,,
Social Leverage Acquisition I,SLAC,12-02-21,,,,19-02-21,,,,
Churchill Capital VI,CCVI,12-02-21,,,,19-02-21,,,,
Tuatara Capital Acquisition,TCAC,12-02-21,,,,19-02-21,,,,
Bite Acquisition,BITE,12-02-21,,,,19-02-21,,,,
Talis Biomedical,TLIS,12-02-21,,,,19-02-21,,,,
