,IPO Date,Symbol,Name,IPO Price,IPO Open Price,Shares Outstanding,IPO Market Capitalization,Volume Traded on Opening Day,No. of Employees,Currency,CPI Seasonally Adj,IPO + 1wk,Close Price,Price Change,Price Change 2,Price Up?,diff_exp
105,"Jul 25, 2019",NOVA,Sunnova Energy International,12.00,11.05,83115618,918427578.9,4530781,299,USD,255.423,2019-08-01,11.39,0.34,1.0307692307692307,1,0.9499999999999993
106,"Jul 25, 2019",HCAT,Health Catalyst,26.00,37.37,35078173,1310871325.01,6080408,728,USD,255.423,2019-08-01,44.43,7.06,1.188921594862189,1,11.369999999999997
107,"Jul 25, 2019",CSTL,Castle Biosciences,16.00,20.00,16049008,320980160,2156379,96,USD,255.423,2019-08-01,21.95,1.95,1.0975,1,4.0
108,"Jul 26, 2019",WSG,Wanda Sports Group Co.,8.00,0.12,135027511,16457665.4060434,1690028.078125,233,GBP,255.423,2019-08-02,0.11577722277,-0.00610657175572,0.9648101897500001,0,7.88
109,"Jul 26, 2019",CCX,Churchill Capital Corp II,10.00,1.23,192236121,237079551.068247,319103.2,3279.859413202934,AUD,255.423,2019-08-02,1.26532333704,0.032050683415,1.0287181601951219,1,8.77
110,"Jul 26, 2019",BHAT,Blue Hat Interactive Entertainment Technology,4.00,4.49,35000000,157150000,1751052,107,USD,255.423,2019-08-02,3.7,-0.79,0.8240534521158129,0,0.4900000000000002
111,"Jul 26, 2019",VIST,Vista Oil &amp; Gas,9.00,8.25,75929000,626414250,2499901,3279.859413202934,USD,255.423,2019-08-02,9.28,1.03,1.1248484848484848,1,0.75
112,"Jul 26, 2019",SBE,Switchback Energy Acquisition,10.00,0.03,41563991,1407295.1051723,24682.6666666667,26,PLN,255.423,2019-08-02,0.03784816933603,0.003989652112015,1.2616056445343333,1,9.97
113,"Jul 31, 2019",BORR,Borr Drilling,9.30,9.56,107912341,1031825101.91433,262003.822580645,3279.859413202934,USD,255.423,2019-08-07,7.16926120979854,-2.39243574119548,0.7499227206902238,0,0.2599999999999998
114,"Aug 1, 2019",KRUS,Kura Sushi USA,14.00,14.89,6900000,102741000,1854199,1203,USD,255.925,2019-08-08,21,6.11,1.4103425117528543,1,0.8900000000000006
115,"Aug 1, 2019",DT,Dynatrace,16.00,25.50,275537939,7026217444.5,29037103,1981,USD,255.925,2019-08-08,26,0.5,1.0196078431372548,1,9.5
116,"Aug 1, 2019",SNDL,Sundial Growers,13.00,13.02,83807315,1091171241.3,9314399,937,CAD,255.925,2019-08-08,12.3,-0.719999999999999,0.9447004608294932,0,0.019999999999999574
117,"Aug 5, 2019",HKIB,AMTD International,8.38,8.91,230663205,2055209156.55,1713799,31,HKD,255.925,2019-08-12,9.72,0.810000000000001,1.090909090909091,1,0.5299999999999994
118,"Aug 8, 2019",INMD,InMode,14.00,6.81,63947144,435639918.5,7098880,209,USD,255.925,2019-08-15,9.125,2.3125,1.339941262848752,1,7.19
119,"Aug 14, 2019",PLIN,China Xiangtai Food Co.,5.00,6.00,23791667,142750002,43674,178,USD,255.925,2019-08-21,4.54,-1.46,0.7566666666666667,0,1.0
