,Symbol,tweetCount,replyCount,retweetCount,likeCount,quoteCount,weightedSentiment,unweightedSentiment
51,ATIF,1000,0.386,0.31,1.919,0.029,0.20130567322239032,0.1628461
52,SCPL,105,0.08571428571428572,0.4380952380952381,1.1904761904761905,0.0380952380952381,0.04555923913043477,0.0928
53,TBBA,1,3.0,0.0,8.0,0.0,-0.5849,-0.5849
54,TRVI,27,0.07407407407407407,0.1111111111111111,0.4074074074074074,0.1111111111111111,0.14677894736842106,0.08872592592592593
55,PSN,1000,0.407,0.321,2.137,0.051,0.2696449245541838,0.1650763
56,NXTC,52,0.057692307692307696,0.5769230769230769,0.9423076923076923,0.019230769230769232,-0.06416385542168673,0.03417115384615384
57,MEC,16,0.0,0.0625,0.1875,0.0,0.0,0.098575
58,SPFI,23,0.0,0.043478260869565216,0.0,0.0,0.0,0.06710434782608696
59,CRTX,71,0.38028169014084506,0.43661971830985913,1.3098591549295775,0.04225352112676056,0.19973831168831166,0.09456056338028171
60,AXLA,34,0.0,0.23529411764705882,0.14705882352941177,0.029411764705882353,0.07855714285714285,0.13472352941176474
61,UBER,1000,0.396,0.483,2.493,0.073,0.06412194484760518,0.1414617
62,JFIN,10,0.0,0.1,0.0,0.0,0.0,0.029599999999999998
63,SONM,19,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.04887368421052631
64,APLT,32,0.0,0.125,0.28125,0.0,-0.08575384615384615,0.022462500000000003
65,PSTL,13,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.0,0.51015,0.4778692307692308
66,LKNCY,850,0.22705882352941176,0.7141176470588235,1.7011764705882353,0.1376470588235294,0.07089162082099028,0.05457152941176471
67,AVTR,88,0.14772727272727273,0.4431818181818182,0.875,0.03409090909090909,0.16628106060606063,0.19330681818181822
68,FSLY,867,0.34371395617070355,0.6412918108419838,2.7866205305651675,0.0726643598615917,0.20382448244824486,0.1858199538638985
69,RTLR,25,0.08,0.32,1.16,0.2,0.10602954545454546,0.1483
70,BCYC,62,0.04838709677419355,0.3870967741935484,0.41935483870967744,0.03225806451612903,0.1759618181818182,0.09988870967741936
71,IDYA,31,0.0967741935483871,0.3225806451612903,0.2903225806451613,0.03225806451612903,-0.15945217391304348,0.04271290322580645
72,GIX,131,0.24427480916030533,0.48091603053435117,1.8625954198473282,0.06870229007633588,0.489052011494253,0.24669847328244277
73,GOTU,0,,,,,,
74,RVLV,96,0.3958333333333333,0.6666666666666666,3.2916666666666665,0.15625,0.343777598152425,0.15994687500000002
75,CRWD,52,0.057692307692307696,0.4807692307692308,0.9038461538461539,0.019230769230769232,0.21662368421052633,0.18018653846153843
76,MWK,10,0.0,0.1,0.1,0.0,0.148,0.08879999999999999
77,FVRR,31,0.1935483870967742,0.4838709677419355,1.0,0.03225806451612903,0.2846150943396226,0.14311290322580644
78,CHWY,1000,0.775,2.003,7.77,0.249,-0.13094137260350094,0.2762699
79,STOK,60,0.03333333333333333,0.65,0.8,0.03333333333333333,0.1461879120879121,0.06760166666666666
80,BCEL,49,0.5306122448979592,0.6938775510204082,1.7551020408163265,0.02040816326530612,0.1421108843537415,0.08546122448979591
81,WORK,1000,0.696,0.67,4.805,0.104,0.24985650996015937,0.1532493
82,AKRO,24,0.08333333333333333,0.3333333333333333,0.20833333333333334,0.0,0.034133333333333335,0.0671375
83,PSNL,94,0.574468085106383,0.46808510638297873,2.6595744680851063,0.0851063829787234,0.33222808988764047,0.13696063829787233
84,GO,72,1.4583333333333333,0.3055555555555556,1.7222222222222223,0.06944444444444445,0.19780546875,0.15864027777777778
85,CMBM,51,0.0392156862745098,0.1568627450980392,0.5686274509803921,0.0,0.2302205128205128,0.12891176470588236
86,LINX,1000,0.208,0.236,1.44,0.037,-0.03867605413846954,0.1997409
87,CHNG,1000,0.393,1.217,4.567,0.179,0.0904973725613594,0.09784770000000001
88,MORF,29,0.0,0.20689655172413793,0.034482758620689655,0.0,0.22965714285714284,0.06200344827586207
89,ADPT,108,0.027777777777777776,0.25925925925925924,0.4722222222222222,0.046296296296296294,0.18842528735632186,0.11319351851851851
90,BBIO,36,0.05555555555555555,0.3333333333333333,0.7222222222222222,0.1388888888888889,0.19009555555555555,0.13028055555555557
91,KRTX,39,0.02564102564102564,0.20512820512820512,0.3333333333333333,0.0,0.1334590909090909,0.1319794871794872
92,REAL,1000,0.669,1.135,8.655,0.135,0.5597398999433641,0.054346200000000004
93,RMBI,2,0.0,0.0,0.0,0.0,0.0,0.0
94,PIC,19,0.0,0.10526315789473684,0.10526315789473684,0.0,0.0,0.0
95,DOYU,14,0.07142857142857142,0.6428571428571429,0.7857142857142857,0.0,0.045604761904761905,0.02657857142857142
96,MIRM,37,0.0,0.21621621621621623,0.1891891891891892,0.0,0.13252,0.1085135135135135
97,FULC,43,0.0,0.4186046511627907,0.5348837209302325,0.0,-0.0027975609756097568,0.051611627906976744
98,ORCC,22,0.0,0.0,0.2727272727272727,0.0,0.16565,0.05437272727272727
99,PHR,1000,0.455,0.339,1.43,0.037,0.06926045997346307,0.10016499999999999
100,IHRT,329,0.16109422492401215,0.47416413373860183,1.425531914893617,0.06382978723404255,0.3618283261802575,0.2706893617021277
