,date,content,replyCount,retweetCount,likeCount,quoteCount
32,2020-07-31 16:22:10+00:00,"Your Actual Place in Reservation Line, Based on Rivian Preorder # https://t.co/uB85XaBvz2 https://t.co/bhwGFyeyI0",1,0,0,0
33,2020-07-31 16:15:37+00:00,A R R I V A L 1st look  - is this Britain's Rivian? | FULLY CHARGED for ... https://t.co/xQWodIF35N via @YouTube,0,0,0,0
34,2020-07-31 15:59:06+00:00,Dang...I need a Rivian R1T,1,0,1,0
35,2020-07-31 15:48:28+00:00,@SAEdelstein Moooooooove over Tesla and Rivian!! Now if it only ran on methane. 🐄💨,1,0,1,0
36,2020-07-31 15:45:15+00:00,Before there are any on the streets 40% of pick-up truck owners excited about going electric. That’s a great starting point. US OEM’s - our member companies - can and should dominate global e-pickup truck market. Great US job creation oppty @Ford @Rivian @GM @Tesla @USRepKCastor https://t.co/qPiJr61Nnf,0,0,5,0
37,2020-07-31 15:30:47+00:00,"It is reported that #Tesla filed a lawsuit against #Rivian for claiming that former Tesla employees revealed #companysecrets for Rivian to use as an advantage. @transportevolve goes over what you should know in this latest #industrynews.
https://t.co/b6BxU6E5sG",1,0,0,0
38,2020-07-31 14:02:36+00:00,"shoot, I might have considered the electric hummer had @GM spokesman choices been better.  picking a guy who sides with China and tyranny over freedom (aka Hong Kong) @Rivian here I come! https://t.co/sgPU9CJ9qo",0,0,0,0
39,2020-07-31 13:58:31+00:00,"Tesla sues Rivian.

The suit accused Rivian and four of its employees of misappropriating the trade secrets that violate the former employees' non-disclosure agreements.
--
https://t.co/9IwnNlb0by",0,0,0,0
40,2020-07-31 11:58:48+00:00,@MatthewMcCall Will Rivian ever be a Ford product?,0,0,0,0
41,2020-07-31 11:54:36+00:00,A R R I V A L 1st look  - is this Britain's Rivian? | FULLY CHARGED for ... https://t.co/Daoi4BuE8c via @YouTube,0,0,0,0
42,2020-07-31 11:38:28+00:00,"@ruffpast I read somewhere they're thinking of using the MEB platform from VW instead of the Mach E platform. 

They wanted pickups from Rivian, then backpedaled. 

Too many changes in direction suggest they're in panic mode",1,0,1,0
43,2020-07-31 11:20:59+00:00,"@HTAutotweets @htTweets @KiaMotorsIN Tesla, Rivian, Nikola Motor, Mercedes-Benz &amp; many other Global Auto Firms Globally are Already into the Electric Trucks segment too..",0,0,0,0
44,2020-07-31 11:12:05+00:00,Here comes another EV player $NIO $LI $SPAQ $TSLAQ @PolestarCars @LucidMotors @Rivian 🤔 https://t.co/lSWUa9TciZ,0,0,2,0
45,2020-07-31 09:33:22+00:00,@Tux_corporation @TuxProperties While you're on it please try to also bring Rivian to South Africa,0,0,0,0
46,2020-07-31 08:43:03+00:00,"Tesla rival Rivian to deliver electric vehicles in summer 2021
https://t.co/Ulj9Fc4qA2",0,0,0,0
47,2020-07-31 08:38:07+00:00,"The modular eBussy is the Transformer minivan you’ve been waiting for - https://t.co/G53ht8ZfKd #Battery #Bizfinance #Dollar #ElectricBrands #Lorry #TheNextWeb #Van #Vehicle  Companies like General Motors and Rivian have developed what they call “skateboards,” which allow the ...",0,0,0,0
48,2020-07-31 08:31:49+00:00,(160) A R R I V A L 1st look - is this Britain's Rivian? | FULLY CHARGED for Electric Vehicles. - YouTube https://t.co/5rSOYTTA6s,0,0,0,0
49,2020-07-31 08:14:36+00:00,A R R I V A L 1st look  - is this Britain's Rivian? | FULLY CHARGED for ... https://t.co/6AmFKiSmyw via @YouTube,0,0,0,0
50,2020-07-31 07:44:04+00:00,"@Rivian When #Rivian IPO?
#Bitcoin 🚀",0,0,1,0
51,2020-07-31 07:28:30+00:00,"@LeoChangLiao @vincent13031925 they are selling an EV, and are invested heavily in rivian as a supplier. obviously they want to sell EVs",1,0,1,0
52,2020-07-31 07:06:38+00:00,Rivian R1T Promises Great Handling On All Kinds Of Surfaces... #whatistech #todaytechnews #latestech https://t.co/XO4hBrnPiH https://t.co/hNBAWo67DF,0,0,0,0
53,2020-07-31 06:30:25+00:00,".@Rivian, which has started running a pilot production line at its Illinois factory, is set to start deliveries of the R1T electric pickup truck in June 2021. https://t.co/mZyNVla3wJ",0,12,24,0
54,2020-07-31 04:02:58+00:00,"@jimcramer nothing against tesla. But I sure as heck wouldn't pay that price for those shares. Not with rivian, nikola, workhorse etc etc. I here rivian is ramping up production",0,0,0,0
55,2020-07-31 03:50:12+00:00,"@Theartofwallst @barronsonline Nobody's buying Rivian. If GM had understood that sooner, they might have had a valuable partner in battery tech. Now they're going to give us a 2-motor H2 EV? Clever dinosaur.",0,0,0,0
56,2020-07-31 03:46:56+00:00,A R R I V A L 1st look  - is this Britain's Rivian? | FULLY CHARGED for ... https://t.co/1crgjz2EvV via @YouTube,0,0,0,0
57,2020-07-31 03:39:00+00:00,"@William68318296 @Rivian Ah, you're confusing your fake Fisker preorders that you're fake-cancelling with your fake Rivian pre-orders, which have always been a grand. Also you'd probably know Rivian's not really an EV drywall-sheet hauler if you deposited at least 2k for your plural Rivian preorders.",0,0,0,0
58,2020-07-31 03:25:15+00:00,"#AutoNews #AutoReviews #ElectricScooter #VehicleReviews
A R R I V A L 1st look – is this Britain's Rivian? | FULLY CHARGED for Electric Vehicles. https://t.co/vVtj07j0jd",0,0,0,0
59,2020-07-31 03:22:16+00:00,@Gus_802 UPS and FedEx still rely heavily on the USPS for last mile deliveries outside of large urban metro areas.  But Amazon sank billions into Rivian to make the platform for a fleet of electric delivery vans. 45's B.S. would give Amazon a delivery advantage.,0,0,0,0
